material_id,composition,target_pred_n0,target_target
118,Al0.22La0.78,3.5352306365966797,4.3
119,Al0.22Nb0.75Si0.3,12.62468147277832,19.2
120,Al0.23Nb0.75Zr0.013,16.804222106933594,18.3
121,Al0.245Nb0.725,15.519830703735352,18.4
122,Al0.24Nb0.76,15.230531692504883,11.65
123,Al0.25Fe0.75Se0.85,7.978879928588867,8.5
124,Al0.25La0.75,3.0817508697509766,3.98
125,Al0.25Nb0.75,15.457386016845703,14.233334
126,Al0.25V0.75,10.458301544189453,16.9
127,Al0.27La0.73,2.840930938720703,3.82
128,Al0.28Mg0.18,1.425607681274414,1.63
129,Al0.2B5Mo1.8,6.694580078125,5.7
130,Al0.2La0.8,3.8231964111328125,4.43
131,Al0.2Si0.8V3,12.487255096435547,15.7
132,Al0.32La0.68,2.209951400756836,3.23
133,Al0.33Ge0.67,2.4450206756591797,1.75
134,Al0.33Nb0.67,16.576650619506836,13.5
135,Al0.39Mg0.61,1.8587779998779297,1.5
136,Al0.3Be0.7,2.7381343841552734,6.5
137,Al0.3Ga0.7V3,11.356460571289062,13.9
138,Al0.5Ga0.5Nb3,16.4255428314209,19.0
139,Al0.5Ga0.5V3,9.627298355102539,12.9
140,Al0.5Ge0.5Nb1,12.406282424926758,12.6
141,Al0.5Mo5S6Sn1,9.059293746948242,14.2
142,Al0.5Nb3Sn0.5,15.773441314697266,15.8
143,Al0.61Mg0.39,1.4229259490966797,0.85
144,Al0.66Ge0.22Nb3.1,18.826148986816406,20.29
145,Al0.6Mg0.4,1.441720962524414,1.7
146,Al0.72Nb3.28,13.238096237182617,6.2
147,Al0.75Ge0.25Nb0.003,6.090131759643555,20.7
148,Al0.75Ge0.25Nb3,19.622112274169922,20.2
149,Al0.75Ge0.25Nb3.8,18.48724365234375,20.34
150,Al0.77Ge0.23Nb3,19.79986572265625,20.75
151,Al0.8Ge0.2Nb3,20.033592224121094,20.375
152,Al0.95B0.05Nb3,17.801815032958984,19.1
153,Al0.95Be0.05Nb3,19.688758850097656,19.6
154,Al0.95Li0.05,1.3909072875976562,1.13
155,Al0.95Nb3Sb0.5,18.84527587890625,17.81
156,Al0.964Ge0.036,1.4677181243896484,2.74
157,Al0.97Li0.03,1.1541862487792969,1.05
158,Al0.992Zn0.008,0.9487800598144531,1.132
159,Al0.997Er0.003,2.1413841247558594,1.658
160,Al0.998Mn0.002,0.2220611572265625,0.262
161,Al0.999Fe0.001,0.7733879089355469,1.5
162,Al0.999Mn0.001,0.3481636047363281,0.596
163,Al0.99Li0.01,1.2409553527832031,1.07
164,Al0.9As0.05Ga0.05Nb3,20.023849487304688,19.2
165,Al0.9Ga0.1Nb3,19.68170166015625,17.7
166,Al0.9Ge0.1,1.3416423797607422,6.45
167,Al0.9Ge0.1Nb3,20.455127716064453,18.9
168,Al0.9Li0.1,1.8840980529785156,1.29
169,Al0.9Nb3Sb0.1,19.85298728942871,18.06
170,Al1,1.7105216979980469,1.2540333
171,Al13Os3.2Ru0.8,4.751941680908203,4.0
172,Al13Os4,2.190187454223633,5.4
173,Al1Au4,-0.18320465087890625,0.55
174,Al1Ce0.0165La3,4.302101135253906,1.45
175,Al1Ce0.017La3,4.2993316650390625,0.77
176,Al1Ce0.01La3,4.329523086547852,3.92
177,Al1Cr0.3Nb2.7,8.939212799072266,14.1
178,Al1Cu1,1.20733642578125,3.45
179,Al1Gd0.001La3,4.356819152832031,5.6
180,Al1Gd0.003La3,4.371517181396484,4.58
181,Al1Gd0.0065La3,4.3805084228515625,2.79
182,Al1Ge1,2.0841922760009766,5.5
183,Al1Ge1Nb3,16.071449279785156,19.5
184,Al1Ge2,2.4454383850097656,1.75
185,Al1La3,3.0817508697509766,5.9866667
186,Al1Mo3,3.0563907623291016,0.58
187,Al1Mo6Pd1,4.011730194091797,2.1
188,Al1N1,1.1514053344726562,1.55
189,Al1Nb1Sn1,14.070699691772461,17.45
190,Al1Nb2.1V0.9,10.308523178100586,12.5
191,Al1Nb2.7V0.3,14.543968200683594,15.4
192,Al1Nb2Ni1,7.2448883056640625,4.2
193,Al1Nb3,15.457386016845703,16.461334
194,Al1Os1,0.7686691284179688,0.39
195,Al1Pb1,2.041769027709961,1.2
196,Al1Sb1,3.251035690307617,2.8
197,Al1Sc1Au2,1.8156070709228516,4.4
198,Al1Sr2Ca1.4Y0.6Cu3O9.1,25.537681579589844,14.0
199,Al1Sr2Ca2Cu3O10.1,73.53890991210938,76.0
200,Al1Sr2Ca2Cu3O9.3,72.36360168457031,63.0
201,Al1Sr2Ca2Cu3O9.5,72.52143096923828,69.0
202,Al1Sr2Ca2Cu3O9.7,72.73946380615234,72.0
203,Al1Sr2Ca2Cu3O9.9,73.001220703125,77.0
204,Al1Sr2Ca3Cu4O,96.59512329101562,110.0
205,Al1Sr2Ca5Cu5O,88.48365020751953,83.0
206,Al1Sr2Ho0.4Ca0.6Cu2O7,23.25783348083496,24.0
207,Al1Sr2Ho0.5Ca0.5Cu2O7.05,21.016708374023438,18.0
208,Al1Ta3,3.662841796875,1.59
209,Al1V3,10.458301544189453,10.3
210,Al1Zr3,2.5792083740234375,0.73
211,Al2.06Cu1,0.9823493957519531,0.65
212,Al20.3V2,1.801412582397461,1.49
213,Al20.3V20,6.005067825317383,1.49
214,Al25Nb75,15.457386016845703,17.5
215,Al2Au1,0.7663078308105469,0.095
216,Al2C1Mo3,7.2232666015625,9.025
217,Al2Ca1Si1,2.837339401245117,5.8
218,Al2Cu1,0.9781379699707031,1.02
219,Al2Gd0.002La0.998,1.5728511810302734,2.45
220,Al2La1,0.7908134460449219,2.5881667
221,Al2Mg2,1.6085052490234375,0.84
222,Al2N1Nb3,12.287572860717773,1.3
223,Al2Pt1,1.0022659301757812,0.515
224,Al2Zr1,1.1450843811035156,0.35
225,Al3Mg2,1.441720962524414,0.855
226,Al3Nb3,8.519615173339844,18.4
227,Al3Os1,2.0884952545166016,5.9
228,Al3Tl1,1.9609565734863281,0.75
229,Al3Yb1,0.8557891845703125,0.94
230,Al5Re24,5.925678253173828,3.35
231,Al6Re1,2.3520774841308594,1.85
232,Al99.925Mn0.075,0.39374542236328125,0.7
233,As0.15Bi0.15Nb3Sn0.7,18.025569915771484,18.07
234,As0.15Ga0.15Nb3Sn0.7,18.329465866088867,18.01
235,As0.15In0.15Nb3Sn0.7,17.46593475341797,17.99
236,As0.15Nb3Pb0.15Sn0.7,19.567424774169922,18.05
237,As0.15Nb3Sn0.7Tl0.15,17.229717254638672,17.98
238,As0.15Nb3Sn0.85,17.775714874267578,17.98
239,As0.1P0.9,7.225555419921875,9.9
240,As0.25Se0.75Y1,2.7421951293945312,0.78
241,As0.33In1Te0.67,1.3712539672851562,0.85
242,As0.5In1Te0.5,1.5553321838378906,0.44
243,As0.5Ni0.06Pd0.44,2.0513134002685547,1.39
244,As1,5.361257553100586,1.825
245,As1Bi1Pb1,4.986455917358398,9.0
246,As1Bi1Pb1Sb1,6.577108383178711,9.0
247,As1Cr1,2.8257179260253906,1.838
248,As1Ga1,5.145719528198242,5.7
249,As1Ge1,4.038839340209961,3.5
250,As1Nb3,4.905933380126953,2.3533332
251,As1Ni0.12Pd0.88,2.0513134002685547,1.39
252,As1Ni0.25Pd0.75,2.1104354858398438,1.47
253,As1Pb1,5.139026641845703,8.4
254,As1Pd2,1.6470279693603516,1.15
255,As1Pd5,1.4695320129394531,0.46
256,As1Rh1,3.061563491821289,0.58
257,As1Rh1.4,2.654569625854492,0.03
258,As1Sn1,4.218122482299805,3.755
259,As2Cd1Ge1,3.057130813598633,3.02
260,As2Cd1Sn1,4.293727874755859,2.29
261,As2Mo1,3.9989166259765625,0.41
262,As2Pd5,1.4900264739990234,0.46
263,As2Sn3,3.496511459350586,3.5
264,As2Te3,2.920595169067383,4.4
265,As2W1,2.8647842407226562,0.9
266,As3La4,2.692087173461914,6.5
267,As3Pd5,1.7892684936523438,24.761
268,As3Sn4,3.604562759399414,1.195
269,Au0.05Zr0.95,3.463479995727539,1.79
270,Au0.075Sb0.85Te0.075,4.587209701538086,4.5
271,Au0.07Zr0.93,3.4064712524414062,2.52
272,Au0.098Pd0.02Ga2,3.8586387634277344,1.51
273,Au0.125Sb0.75Te0.125,4.076509475708008,6.7
274,Au0.12Zr0.88,3.3490467071533203,2.78
275,Au0.14Te0.86,2.6484127044677734,1.7
276,Au0.15Sb0.85,3.371030807495117,8.1
277,Au0.15Te0.85,2.6249141693115234,1.64
278,Au0.167Pd0.166Te0.667,2.180164337158203,4.6
279,Au0.16Te0.84,2.601696014404297,1.71
280,Au0.18Te0.82,2.5364513397216797,1.56
281,Au0.1C1.3Y0.9,10.85495376586914,10.1
282,Au0.1Sb0.8Te0.1,4.402164459228516,6.0
283,Au0.1Sb0.9,3.763641357421875,7.5
284,Au0.1Zr0.9,3.3697452545166016,2.78
285,Au0.22La0.78,3.868185043334961,3.4
286,Au0.22Nb0.78,7.121898651123047,7.6
287,Au0.22Te0.78,2.442716598510742,1.54
288,Au0.23V0.77,5.113851547241211,0.66
289,Au0.242Nb0.758,7.378782272338867,10.56
290,Au0.24La0.76,3.45416259765625,3.64
291,Au0.24Nb0.76,7.353982925415039,10.78
292,Au0.24Te0.76,2.3770389556884766,1.72
293,Au0.25Nb0.75,7.510713577270508,11.1
294,Au0.25Te0.75,2.342439651489258,1.85
295,Au0.278Ga0.722,3.1035385131835938,1.615
296,Au0.27Tl0.73,2.27545166015625,2.04
297,Au0.281Ga0.719,3.0900115966796875,1.587
298,Au0.28Te0.72,2.233928680419922,1.96
299,Au0.293Ga0.707,3.0469532012939453,1.63
300,Au0.2B5Mo1.8,4.9827728271484375,4.5
301,Au0.2Ga0.8,3.4516239166259766,1.587
302,Au0.2La0.8,4.329622268676758,3.97
303,Au0.2Nb0.8,6.880559921264648,6.45
304,Au0.2Pd1.8In1Y1,3.0315418243408203,1.24
305,Au0.2Sb0.6Te0.2,3.1304454803466797,6.6
306,Au0.2Sn0.8,2.9914913177490234,2.38
307,Au0.2Te0.8,2.482320785522461,1.48
308,Au0.328Ga0.672,2.8996543884277344,1.668
309,Au0.332Te0.668,1.9083671569824219,1.89
310,Au0.33La0.67,2.0459442138671875,3.2
311,Au0.35Te0.65,1.7548656463623047,1.58
312,Au0.374Te0.626,1.5326976776123047,1.3
313,Au0.388Ga0.612,2.5152206420898438,1.355
314,Au0.3Pd0.033Te0.666,2.1643199920654297,2.6
315,Au0.3Te0.7,2.136445999145508,1.99
316,Au0.41Ge0.59,1.9898605346679688,2.2
317,Au0.427Ga0.573,2.1368045806884766,1.378
318,Au0.499Ga0.501,1.533895492553711,1.17
319,Au0.4Ge0.6,2.071735382080078,0.32
320,Au0.5Ge0.5,1.4094123840332031,3.6
321,Au0.5Rh0.4Ti0.91,3.603494644165039,3.0
322,Au0.635Ge0.205Yb0.16,0.5624771118164062,0.325
323,Au0.64Ge0.22Yb0.14,0.7242774963378906,0.655
324,Au0.65Pt0.35Te2,3.1138648986816406,4.1
325,Au0.7Nb3Pt0.3,10.819784164428711,12.5
326,Au0.835Sn0.165,0.5706863403320312,0.59
327,Au0.845Sn0.155,0.48809051513671875,0.53
328,Au0.84In0.16,0.6132698059082031,0.035
329,Au0.855Sn0.145,0.3751983642578125,0.43
330,Au0.85Pd0.15Ga2,3.5470352172851562,1.79
331,Au0.865Sn0.135,0.22829055786132812,0.435
332,Au0.875Sn0.125,0.05274200439453125,0.33
333,Au0.885Sn0.115,-0.14810562133789062,0.21
334,Au0.8In0.2,0.734100341796875,0.28
335,Au0.915In0.085,-0.6382904052734375,0.031
336,Au0.91In0.09,-0.4994010925292969,0.0423
337,Au0.92Ga0.02In0.06,-0.54315185546875,0.0425
338,Au0.92Ga0.04In0.04,-0.5642776489257812,0.0682
339,Au0.92Ga0.068In0.012,-0.4862327575683594,0.137
340,Au0.92Ga0.06In0.02,-0.49626922607421875,0.13
341,Au0.92Ga0.08,0.4020271301269531,0.168
342,Au0.92In0.08,-0.8001251220703125,0.0238
343,Au0.93In0.07,-1.1079216003417969,0.0164
344,Au0.93Pd0.07Ga2,3.5560302734375,1.773
345,Au0.94In0.06,-1.3411102294921875,0.0111
346,Au0.95Ga0.05,-0.5005912780761719,0.032
347,Au0.95Pd0.5Ga2,3.4671669006347656,1.75
348,Au0.95Sn0.05,-1.4971694946289062,0.047
349,Au0.976Pd0.024Ga2,3.612977981567383,1.56
350,Au0.978In0.022,-1.4896163940429688,0.0005
351,Au0.988Pd0.012Ga2,3.6376190185546875,1.25
352,Au0.98Pd0.02Ga2,3.620229721069336,1.51
353,Au0.9Ga0.1,0.6712570190429688,0.264
354,Au0.9In0.1,-0.24133682250976562,0.06786667
355,Au1.3Pd0.7In1Y1,1.4801445007324219,2.68
356,Au1.6Pd0.4In1Y1,1.7060089111328125,2.64
357,Au1.8Pd0.2In1Y1,2.0770225524902344,2.27
358,Au16.7Pd16.6Te66.7,2.180164337158203,4.6
359,Au1Be1,1.5849418640136719,1.775
360,Au1Ga1,1.5253620147705078,1.2
361,Au1Ga2,2.8709259033203125,1.3275
362,Au1Ga40Mo8,5.121950149536133,9.4
363,Au1Ge1,1.4094123840332031,2.7
364,Au1In1,0.5907630920410156,0.5
365,Au1In2,1.2168502807617188,0.22
366,Au1Lu1,-0.07281112670898438,0.37
367,Au1Nb3,7.510713577270508,9.226363
368,Au1Pb2,3.572986602783203,3.76
369,Au1Pb3,4.034235000610352,4.325
370,Au1Pd1In1Y1,2.021780014038086,2.3
371,Au1Sb2,2.596525192260742,0.58
372,Au1Sc1,1.2042999267578125,2.0
373,Au1Sn1,0.618194580078125,1.25
374,Au1Ta4.3,1.9469890594482422,0.51
375,Au1Te2,1.8980159759521484,2.05
376,Au1Tl1,1.3583927154541016,1.92
377,Au1Tl2,2.118988037109375,4.25
378,Au1V3,5.148591995239258,2.2192
379,Au1Zn3,-0.4952964782714844,1.245
380,Au1Zr3,3.0096206665039062,0.92
381,Au22La78,3.868185043334961,3.934
382,Au25Sb75,3.0218734741210938,6.7
383,Au2Bi1,1.2546958923339844,1.77
384,Au2In1Y1,0.5573539733886719,1.74
385,Au2Pb1,2.042116165161133,2.6575
386,Au30Pd3.3Te66.6,2.1643199920654297,2.6
387,Au3Te5,1.523721694946289,1.62
388,Au5Ba1,1.5735702514648438,0.4
389,Au5Ca1,2.0525074005126953,0.34
390,Au5Sn1,0.5836677551269531,0.9
391,Au63.5Ge20.5Yb16,0.5624771118164062,0.36
392,Au64Ge22Yb14,0.7242774963378906,0.68
393,B0.015C0.985,8.318868637084961,12.0
394,B0.039C0.961Si1,5.524160385131836,1.4
395,B0.03C0.51Mo0.47,11.031539916992188,12.5
396,B0.048C0.952,7.732166290283203,6.6
397,B0.057Si0.943,4.019891738891602,0.34
398,B0.3Ru0.7,2.0444202423095703,2.58
399,B0.65C0.35Ba1.4Sr0.6Ca2Cu3O,121.35116577148438,119.6
400,B0.67Mg0.33,23.362226486206055,6.1
401,B0.69Mg0.31,24.978851318359375,5.7
402,B0.6C0.4Sr0.5Ba1.5Ca2Cu3O9,119.6004638671875,119.0
403,B0.7C0.3Ba1.5Sr0.5Ca2Cu3O,121.68765258789062,117.65
404,B0.978C0.022Si1,3.3011474609375,1.35
405,B1,4.809534072875977,8.5
406,B105,4.809534072875977,1.5
407,B12Li1.7,3.9257164001464844,7.05
408,B12Li2.5,4.299190521240234,6.62
409,B12Lu1,4.821556091308594,0.435
410,B12Sc1,3.159961700439453,0.39
411,B12Y1,3.32904052734375,4.7
412,B12Yb0.01Zr0.99,3.4571094512939453,4.4
413,B12Zr1,4.055450439453125,5.977143
414,B1C1Mo2,5.860786437988281,5.9333334
415,B1Hf1,3.7224502563476562,3.1
416,B1I3,2.1767578125,1.86
417,B1Mo1,4.732183456420898,0.5
418,B1Mo1.5Ta0.5,4.545370101928711,1.815
419,B1Mo1.75Ta0.25,4.766822814941406,3.05
420,B1Mo1Re1,5.132970809936523,5.09
421,B1Mo2,3.074789047241211,5.483333
422,B1Nb1,4.498777389526367,8.25
423,B1Re2,3.694549560546875,3.7
424,B1Re3,3.316213607788086,4.75
425,B1Sr2Ca2Cu3O5,80.24501037597656,75.0
426,B1Sr2Ca2Cu3O9,83.83917236328125,75.0
427,B1Sr2Ca3Cu4O11,87.39201354980469,110.0
428,B1Sr2Ca3Cu4O5,91.45208740234375,110.0
429,B1Sr2Ca4Cu5O13,85.68235778808594,85.0
430,B1Sr2Ca4Cu5O5,91.80091857910156,85.0
431,B1Ta0.5W1.5,3.1634998321533203,1.94
432,B1Ta1,2.631591796875,4.0
433,B1Ta1.5W0.5,2.9059619903564453,0.25
434,B1Ta2,1.485982894897461,3.12
435,B1W1.26Re0.74,3.8162841796875,5.1
436,B1W2,2.6279735565185547,3.2
437,B1Zr1,3.159341812133789,3.1
438,B2.03Nb1,5.746051788330078,5.26
439,B2.1Nb1,5.826526641845703,7.45
440,B2.26Nb1,6.01835823059082,9.2
441,B2.2Nb1,5.944574356079102,6.305
442,B2.32Nb1,6.083812713623047,9.8
443,B2.34Nb1,6.106901168823242,9.16
444,B2.4Nb1,6.181280136108398,9.96
445,B2.5Mo1,4.956964492797852,7.775
446,B2.5Nb1,6.296648025512695,6.4
447,B2.6Nb1,6.407949447631836,10.9
448,B2.75Be1,4.745140075683594,0.755
449,B2.8C97.2,8.061975479125977,4.0
450,B2.8Nb1,6.614910125732422,9.96
451,B2Mg0.5,32.415164947509766,36.0
452,B2Mg0.6,31.275135040283203,36.9
453,B2Mg0.7,29.632450103759766,37.2
454,B2Mg0.8,27.012603759765625,38.0
455,B2Mg0.9,24.956275939941406,38.2
456,B2Mg0.98,23.475706100463867,38.4
457,B2Mg0.988Sc0.012,37.022117614746094,41.4
458,B2Mg1,23.030765533447266,35.561306
459,B2Nb0.3,6.584993362426758,6.1
460,B2Nb0.4,6.983175277709961,6.57
461,B2Nb0.5,7.1811065673828125,7.56
462,B2Nb0.6,7.003040313720703,8.04
463,B2Nb0.7,6.6623077392578125,7.96
464,B2Nb0.8,6.296648025512695,4.55
465,B2Nb0.83,6.193315505981445,9.77
466,B2Nb0.84,6.157243728637695,9.1
467,B2Nb0.9,5.971836090087891,3.64
468,B2Nb1,5.713024139404297,5.254286
469,B2Os1,4.59361457824707,2.13
470,B2Re1,5.579673767089844,6.3
471,B2Ru1,4.0100555419921875,1.6
472,B2Ta1,4.584220886230469,9.5
473,B2Zr1,4.788846969604492,5.5
474,B3Be1.09,4.746574401855469,0.72
475,B3Mo6S8Sn1,10.65414047241211,15.0
476,B3Nb1,6.772310256958008,9.96
477,B3Re7,3.5085582733154297,3.19
478,B3Ru7,2.0444202423095703,2.98
479,B5Hf0.2Mo1.8,6.110040664672852,8.4
480,B5Hf0.2Nb1.8,6.763677597045898,3.6
481,B5Mo0.2Nb1.8,9.484098434448242,4.3
482,B5Mo1.69Zr0.31,5.765176773071289,11.2
483,B5Mo1.7Nb0.3,6.277595520019531,8.3
484,B5Mo1.7Ta0.3,5.5992889404296875,7.0
485,B5Mo1.7Ti0.3,6.39128303527832,7.1
486,B5Mo1.7V0.3,5.258779525756836,5.5
487,B5Mo1.8Sc0.2,5.246828079223633,8.8
488,B5Mo1.9Y0.1,5.031749725341797,8.0
489,B5Mo1.9Zr0.1,5.971529006958008,8.9
490,B5Nb1.8Ru0.2,6.160947799682617,6.0
491,B5Nb1.8V0.2,5.751195907592773,2.5
492,B5Nb1.8Zr0.2,7.116743087768555,5.9
493,B5Nb1.9Sc0.1,5.91520881652832,6.6
494,B5Nb1.9Ti0.1,7.506095886230469,4.0
495,B5Nb1.9Y0.1,5.437028884887695,9.3
496,B6La1,3.444488525390625,3.075
497,B6Nd1,3.6045303344726562,3.0
498,B6Y1,4.602527618408203,6.641667
499,B6Y6,4.726556777954102,7.5
500,Ba0.13O3W1,4.603940963745117,1.9
501,Ba0.13W1P3,7.492740631103516,1.9
502,Ba0.14O3W1,4.682125091552734,1.725
503,Ba0.15La1.85Cu1O4,18.784259796142578,26.666666
504,Ba0.19K0.81Bi1O3,4.488252639770508,8.4
505,Ba0.1Fe0.9Se0.85,8.415159225463867,10.6
506,Ba0.1K0.9Fe2As2,8.870782852172852,6.93
507,Ba0.1La1.9Ag0.05Cu0.95O4,20.811416625976562,27.0
508,Ba0.1La1.9Ag0.1Cu0.9O4,21.339468002319336,26.5
509,Ba0.1La1.9Ag0.25Cu0.75O4,23.560800552368164,26.0
510,Ba0.1La1.9Ag0.5Cu0.5O4,24.677974700927734,27.0
511,Ba0.1La1.9Cu1O4,19.154396057128906,19.0
512,Ba0.1Na0.9Fe2As2,12.770565032958984,18.4
513,Ba0.1Pb3Sr0.9,3.7580528259277344,1.75
514,Ba0.1Sr0.9Ti1O3,3.6855335235595703,0.1
515,Ba0.25Nb1O2,7.548683166503906,18.05
516,Ba0.2K0.8Fe2As2,11.24268913269043,12.8
517,Ba0.2La1.8Cu1O4,18.331804275512695,29.0
518,Ba0.2Mo1S2,4.6713104248046875,5.7
519,Ba0.2Na0.8Fe2As2,15.105627059936523,19.2
520,Ba0.33Hf1N1Cl1,20.170452117919922,20.2
521,Ba0.33K0.67Bi1O3,7.562494277954102,0.77
