material_id,composition,target
171,Al13Os3.2Ru0.8,4.0
172,Al13Os4,5.4
173,Al1Au4,0.55
174,Al1Ce0.0165La3,1.45
175,Al1Ce0.017La3,0.77
176,Al1Ce0.01La3,3.92
177,Al1Cr0.3Nb2.7,14.1
178,Al1Cu1,3.45
179,Al1Gd0.001La3,5.6
180,Al1Gd0.003La3,4.58
181,Al1Gd0.0065La3,2.79
182,Al1Ge1,5.5
183,Al1Ge1Nb3,19.5
184,Al1Ge2,1.75
185,Al1La3,5.986666666666667
186,Al1Mo3,0.58
187,Al1Mo6Pd1,2.1
188,Al1N1,1.55
189,Al1Nb1Sn1,17.45
190,Al1Nb2.1V0.9,12.5
191,Al1Nb2.7V0.3,15.4
192,Al1Nb2Ni1,4.2
193,Al1Nb3,16.461333333333336
194,Al1Os1,0.39
195,Al1Pb1,1.2
196,Al1Sb1,2.8
197,Al1Sc1Au2,4.4
198,Al1Sr2Ca1.4Y0.6Cu3O9.1,14.0
199,Al1Sr2Ca2Cu3O10.1,76.0
200,Al1Sr2Ca2Cu3O9.3,63.0
201,Al1Sr2Ca2Cu3O9.5,69.0
202,Al1Sr2Ca2Cu3O9.7,72.0
203,Al1Sr2Ca2Cu3O9.9,77.0
204,Al1Sr2Ca3Cu4O,110.0
205,Al1Sr2Ca5Cu5O,83.0
206,Al1Sr2Ho0.4Ca0.6Cu2O7,24.0
207,Al1Sr2Ho0.5Ca0.5Cu2O7.05,18.0
208,Al1Ta3,1.59
209,Al1V3,10.3
210,Al1Zr3,0.73
211,Al2.06Cu1,0.65
212,Al20.3V2,1.49
213,Al20.3V20,1.49
214,Al25Nb75,17.5
215,Al2Au1,0.095
216,Al2C1Mo3,9.025
217,Al2Ca1Si1,5.8
218,Al2Cu1,1.02
219,Al2Gd0.002La0.998,2.45
220,Al2La1,2.5881666666666665
221,Al2Mg2,0.84
222,Al2N1Nb3,1.3
223,Al2Pt1,0.515
224,Al2Zr1,0.35
225,Al3Mg2,0.855
226,Al3Nb3,18.4
227,Al3Os1,5.9
228,Al3Tl1,0.75
229,Al3Yb1,0.94
230,Al5Re24,3.35
231,Al6Re1,1.85
232,Al99.925Mn0.075,0.7
233,As0.15Bi0.15Nb3Sn0.7,18.07
234,As0.15Ga0.15Nb3Sn0.7,18.01
235,As0.15In0.15Nb3Sn0.7,17.99
236,As0.15Nb3Pb0.15Sn0.7,18.05
237,As0.15Nb3Sn0.7Tl0.15,17.98
238,As0.15Nb3Sn0.85,17.98
239,As0.1P0.9,9.9
240,As0.25Se0.75Y1,0.78
241,As0.33In1Te0.67,0.85
242,As0.5In1Te0.5,0.44
243,As0.5Ni0.06Pd0.44,1.39
244,As1,1.8250000000000002
245,As1Bi1Pb1,9.0
246,As1Bi1Pb1Sb1,9.0
247,As1Cr1,1.838
248,As1Ga1,5.7
249,As1Ge1,3.5
250,As1Nb3,2.353333333333333
251,As1Ni0.12Pd0.88,1.39
252,As1Ni0.25Pd0.75,1.4700000000000002
253,As1Pb1,8.4
254,As1Pd2,1.15
255,As1Pd5,0.46
256,As1Rh1,0.58
257,As1Rh1.4,0.03
258,As1Sn1,3.755
259,As2Cd1Ge1,3.02
260,As2Cd1Sn1,2.29
261,As2Mo1,0.41
262,As2Pd5,0.46
263,As2Sn3,3.5
264,As2Te3,4.4
265,As2W1,0.9
266,As3La4,6.5
267,As3Pd5,24.761
268,As3Sn4,1.1949999999999998
269,Au0.05Zr0.95,1.79
270,Au0.075Sb0.85Te0.075,4.5
271,Au0.07Zr0.93,2.52
272,Au0.098Pd0.02Ga2,1.51
273,Au0.125Sb0.75Te0.125,6.7
274,Au0.12Zr0.88,2.78
275,Au0.14Te0.86,1.7
276,Au0.15Sb0.85,8.1
277,Au0.15Te0.85,1.64
278,Au0.167Pd0.166Te0.667,4.6
279,Au0.16Te0.84,1.71
280,Au0.18Te0.82,1.56
281,Au0.1C1.3Y0.9,10.1
282,Au0.1Sb0.8Te0.1,6.0
283,Au0.1Sb0.9,7.5
284,Au0.1Zr0.9,2.78
285,Au0.22La0.78,3.4
286,Au0.22Nb0.78,7.6
287,Au0.22Te0.78,1.54
288,Au0.23V0.77,0.66
289,Au0.242Nb0.758,10.56
290,Au0.24La0.76,3.6399999999999997
291,Au0.24Nb0.76,10.780000000000001
292,Au0.24Te0.76,1.72
293,Au0.25Nb0.75,11.1
294,Au0.25Te0.75,1.85
295,Au0.278Ga0.722,1.615
296,Au0.27Tl0.73,2.04
297,Au0.281Ga0.719,1.587
298,Au0.28Te0.72,1.96
299,Au0.293Ga0.707,1.63
300,Au0.2B5Mo1.8,4.5
301,Au0.2Ga0.8,1.587
302,Au0.2La0.8,3.97
303,Au0.2Nb0.8,6.45
304,Au0.2Pd1.8In1Y1,1.24
305,Au0.2Sb0.6Te0.2,6.6
306,Au0.2Sn0.8,2.38
307,Au0.2Te0.8,1.48
308,Au0.328Ga0.672,1.668
309,Au0.332Te0.668,1.89
310,Au0.33La0.67,3.2
311,Au0.35Te0.65,1.58
312,Au0.374Te0.626,1.3
313,Au0.388Ga0.612,1.355
314,Au0.3Pd0.033Te0.666,2.6
315,Au0.3Te0.7,1.99
316,Au0.41Ge0.59,2.2
317,Au0.427Ga0.573,1.378
318,Au0.499Ga0.501,1.17
319,Au0.4Ge0.6,0.32
320,Au0.5Ge0.5,3.6
321,Au0.5Rh0.4Ti0.91,3.0
322,Au0.635Ge0.205Yb0.16,0.325
323,Au0.64Ge0.22Yb0.14,0.655
324,Au0.65Pt0.35Te2,4.1
325,Au0.7Nb3Pt0.3,12.5
326,Au0.835Sn0.165,0.59
327,Au0.845Sn0.155,0.53
328,Au0.84In0.16,0.035
329,Au0.855Sn0.145,0.43
330,Au0.85Pd0.15Ga2,1.79
331,Au0.865Sn0.135,0.435
332,Au0.875Sn0.125,0.33
333,Au0.885Sn0.115,0.21
334,Au0.8In0.2,0.28
335,Au0.915In0.085,0.031
336,Au0.91In0.09,0.0423
337,Au0.92Ga0.02In0.06,0.0425
338,Au0.92Ga0.04In0.04,0.0682
339,Au0.92Ga0.068In0.012,0.137
340,Au0.92Ga0.06In0.02,0.13
341,Au0.92Ga0.08,0.168
342,Au0.92In0.08,0.0238
343,Au0.93In0.07,0.0164
344,Au0.93Pd0.07Ga2,1.773
345,Au0.94In0.06,0.0111
346,Au0.95Ga0.05,0.032
347,Au0.95Pd0.5Ga2,1.75
348,Au0.95Sn0.05,0.047
349,Au0.976Pd0.024Ga2,1.56
350,Au0.978In0.022,0.0005
351,Au0.988Pd0.012Ga2,1.25
352,Au0.98Pd0.02Ga2,1.51
353,Au0.9Ga0.1,0.264
354,Au0.9In0.1,0.06786666666666667
355,Au1.3Pd0.7In1Y1,2.68
356,Au1.6Pd0.4In1Y1,2.64
357,Au1.8Pd0.2In1Y1,2.27
358,Au16.7Pd16.6Te66.7,4.6
359,Au1Be1,1.7750000000000001
360,Au1Ga1,1.2
361,Au1Ga2,1.3275
362,Au1Ga40Mo8,9.4
363,Au1Ge1,2.7
364,Au1In1,0.5
365,Au1In2,0.22
366,Au1Lu1,0.37
367,Au1Nb3,9.226363636363637
368,Au1Pb2,3.76
369,Au1Pb3,4.325
370,Au1Pd1In1Y1,2.3
371,Au1Sb2,0.58
372,Au1Sc1,2.0
373,Au1Sn1,1.25
374,Au1Ta4.3,0.51
375,Au1Te2,2.05
376,Au1Tl1,1.92
377,Au1Tl2,4.25
378,Au1V3,2.2192
379,Au1Zn3,1.245
380,Au1Zr3,0.92
381,Au22La78,3.934
382,Au25Sb75,6.7
383,Au2Bi1,1.77
384,Au2In1Y1,1.74
385,Au2Pb1,2.6574999999999998
386,Au30Pd3.3Te66.6,2.6
387,Au3Te5,1.62
388,Au5Ba1,0.4
389,Au5Ca1,0.34
390,Au5Sn1,0.9
391,Au63.5Ge20.5Yb16,0.36
392,Au64Ge22Yb14,0.68
393,B0.015C0.985,12.0
394,B0.039C0.961Si1,1.4
395,B0.03C0.51Mo0.47,12.5
396,B0.048C0.952,6.6
397,B0.057Si0.943,0.34
398,B0.3Ru0.7,2.58
399,B0.65C0.35Ba1.4Sr0.6Ca2Cu3O,119.6
400,B0.67Mg0.33,6.1
401,B0.69Mg0.31,5.7
402,B0.6C0.4Sr0.5Ba1.5Ca2Cu3O9,119.0
403,B0.7C0.3Ba1.5Sr0.5Ca2Cu3O,117.65
404,B0.978C0.022Si1,1.35
405,B1,8.5
406,B105,1.5
407,B12Li1.7,7.05
408,B12Li2.5,6.62
409,B12Lu1,0.435
410,B12Sc1,0.39
411,B12Y1,4.7
412,B12Yb0.01Zr0.99,4.4
413,B12Zr1,5.977142857142858
414,B1C1Mo2,5.933333333333334
415,B1Hf1,3.1
416,B1I3,1.86
417,B1Mo1,0.5
418,B1Mo1.5Ta0.5,1.815
419,B1Mo1.75Ta0.25,3.05
420,B1Mo1Re1,5.09
421,B1Mo2,5.483333333333333
422,B1Nb1,8.25
423,B1Re2,3.6999999999999997
424,B1Re3,4.75
425,B1Sr2Ca2Cu3O5,75.0
426,B1Sr2Ca2Cu3O9,75.0
427,B1Sr2Ca3Cu4O11,110.0
428,B1Sr2Ca3Cu4O5,110.0
429,B1Sr2Ca4Cu5O13,85.0
430,B1Sr2Ca4Cu5O5,85.0
431,B1Ta0.5W1.5,1.94
432,B1Ta1,4.0
433,B1Ta1.5W0.5,0.25
434,B1Ta2,3.12
435,B1W1.26Re0.74,5.1
436,B1W2,3.2
437,B1Zr1,3.0999999999999996
438,B2.03Nb1,5.26
439,B2.1Nb1,7.449999999999999
440,B2.26Nb1,9.2
441,B2.2Nb1,6.305
442,B2.32Nb1,9.8
443,B2.34Nb1,9.16
444,B2.4Nb1,9.96
445,B2.5Mo1,7.775
446,B2.5Nb1,6.4
447,B2.6Nb1,10.9
448,B2.75Be1,0.755
449,B2.8C97.2,4.0
450,B2.8Nb1,9.96
451,B2Mg0.5,36.0
452,B2Mg0.6,36.9
453,B2Mg0.7,37.2
454,B2Mg0.8,38.0
455,B2Mg0.9,38.2
456,B2Mg0.98,38.4
457,B2Mg0.988Sc0.012,41.4
458,B2Mg1,35.56130434782609
459,B2Nb0.3,6.1
460,B2Nb0.4,6.57
461,B2Nb0.5,7.56
462,B2Nb0.6,8.04
463,B2Nb0.7,7.96
464,B2Nb0.8,4.55
465,B2Nb0.83,9.77
466,B2Nb0.84,9.1
467,B2Nb0.9,3.64
468,B2Nb1,5.2542857142857144
469,B2Os1,2.1300000000000003
470,B2Re1,6.3
471,B2Ru1,1.6
472,B2Ta1,9.5
473,B2Zr1,5.5
474,B3Be1.09,0.72
475,B3Mo6S8Sn1,15.0
476,B3Nb1,9.96
477,B3Re7,3.19
478,B3Ru7,2.98
479,B5Hf0.2Mo1.8,8.4
480,B5Hf0.2Nb1.8,3.6
481,B5Mo0.2Nb1.8,4.3
482,B5Mo1.69Zr0.31,11.2
483,B5Mo1.7Nb0.3,8.3
484,B5Mo1.7Ta0.3,7.0
485,B5Mo1.7Ti0.3,7.1
486,B5Mo1.7V0.3,5.5
487,B5Mo1.8Sc0.2,8.8
488,B5Mo1.9Y0.1,8.0
489,B5Mo1.9Zr0.1,8.9
490,B5Nb1.8Ru0.2,6.0
491,B5Nb1.8V0.2,2.5
492,B5Nb1.8Zr0.2,5.9
493,B5Nb1.9Sc0.1,6.6
494,B5Nb1.9Ti0.1,4.0
495,B5Nb1.9Y0.1,9.3
496,B6La1,3.075
497,B6Nd1,3.0
498,B6Y1,6.641666666666667
499,B6Y6,7.5
500,Ba0.13O3W1,1.9
501,Ba0.13W1P3,1.9
502,Ba0.14O3W1,1.725
503,Ba0.15La1.85Cu1O4,26.666666666666668
504,Ba0.19K0.81Bi1O3,8.4
505,Ba0.1Fe0.9Se0.85,10.6
506,Ba0.1K0.9Fe2As2,6.93
507,Ba0.1La1.9Ag0.05Cu0.95O4,27.0
508,Ba0.1La1.9Ag0.1Cu0.9O4,26.5
509,Ba0.1La1.9Ag0.25Cu0.75O4,26.0
510,Ba0.1La1.9Ag0.5Cu0.5O4,27.0
511,Ba0.1La1.9Cu1O4,19.0
512,Ba0.1Na0.9Fe2As2,18.4
513,Ba0.1Pb3Sr0.9,1.75
514,Ba0.1Sr0.9Ti1O3,0.1
515,Ba0.25Nb1O2,18.05
516,Ba0.2K0.8Fe2As2,12.8
517,Ba0.2La1.8Cu1O4,29.0
518,Ba0.2Mo1S2,5.7
519,Ba0.2Na0.8Fe2As2,19.2
520,Ba0.33Hf1N1Cl1,20.2
521,Ba0.33K0.67Bi1O3,0.77
522,Ba0.34K0.66Bi1O3,7.0
523,Ba0.35K0.65Bi1O3,1.88
524,Ba0.37K0.63Bi1O2.952,8.71
525,Ba0.39K0.61Fe2As2,24.5
526,Ba0.3K0.7Fe2As2,19.7
527,Ba0.3La1.7Cu1O4,23.0
528,Ba0.3La1.7Hg0.15Cu0.85O4,28.0
529,Ba0.3La1.7Hg0.3Cu0.7O4,26.0
530,Ba0.3Na0.7Fe2As2,24.2
531,Ba0.445K0.555Bi1O3,15.5
532,Ba0.45K0.55Bi1O2.83,18.95
533,Ba0.45K0.55Bi1O3,12.7
534,Ba0.46K0.56Bi1O2.965,14.8
535,Ba0.47K0.53Bi0.965Pr0.035O3,2.97
536,Ba0.47K0.53Bi0.972Pr0.028O3,4.0
537,Ba0.47K0.53Bi0.979Pr0.021O3,4.5
538,Ba0.47K0.53Bi0.985Pr0.015O3,5.2
539,Ba0.47K0.53Bi0.995Pr0.005O3,9.0
540,Ba0.47K0.53Bi0.99Pr0.01O3,6.4
541,Ba0.47K0.53Bi1O3,11.0
542,Ba0.48K0.52Bi1O2.9,21.1
543,Ba0.49K0.51Fe1.79Co0.21As2,15.0
544,Ba0.4K0.6Bi1O3,7.2
545,Ba0.4K0.6Fe2As2,31.200000000000003
546,Ba0.4K0.6O3,7.0
547,Ba0.4Na0.6Fe2As2,28.7
548,Ba0.511K0.489Fe1.772Co0.228As2,22.0
549,Ba0.51K0.49Bi1O2.974,22.2
550,Ba0.51K0.49Bi1O3,17.2
551,Ba0.525K0.475Bi1O2.917,25.9
552,Ba0.52K0.48Bi1O2.93,20.6
553,Ba0.52K0.48Bi1O3,18.7
554,Ba0.542K0.458Bi1O3,23.1
555,Ba0.54K0.46Bi1O3,20.0
556,Ba0.553K0.447Bi1O3,25.5
557,Ba0.557K0.443Bi1O3,25.0
558,Ba0.55K0.45Bi1O3,24.525
559,Ba0.55K0.45Fe1.95Co0.05As2,32.5
560,Ba0.55K0.45Fe2As2,30.1625
561,Ba0.575K0.425Bi1O3,27.3
562,Ba0.57K0.43Bi1O2.983,25.6
563,Ba0.57K0.43Bi1O3,21.2
564,Ba0.584K0.416Bi1O3,28.8
565,Ba0.595K0.405Bi1O3,31.2
566,Ba0.59K0.41Bi1O2.96,20.4
567,Ba0.59K0.41Bi1O3,31.0
568,Ba0.59K0.41Fe2As2,36.9
569,Ba0.5K0.5Bi1O3,19.664285714285715
570,Ba0.5K0.5Fe1.7Co0.3As2,13.56
571,Ba0.5K0.5Fe1.7Ni0.3As2,5.1
572,Ba0.5K0.5Fe1.7Zn0.3As2,7.86
573,Ba0.5K0.5Fe1.84Zn0.16As2,34.2
574,Ba0.5K0.5Fe1.88Zn0.12As2,33.5
575,Ba0.5K0.5Fe1.8Co0.2As2,19.95
576,Ba0.5K0.5Fe1.8Cu0.2As2,11.83
577,Ba0.5K0.5Fe1.8Ni0.2As2,11.1
578,Ba0.5K0.5Fe1.8Ru0.2As2,36.5
579,Ba0.5K0.5Fe1.8Zn0.2As2,26.299999999999997
580,Ba0.5K0.5Fe1.92Mn0.08As2,15.0
581,Ba0.5K0.5Fe1.92Zn0.08As2,34.3
582,Ba0.5K0.5Fe1.96Mn0.04As2,25.85
583,Ba0.5K0.5Fe1.9Co0.1As2,30.31
584,Ba0.5K0.5Fe1.9Cu0.1As2,22.29
585,Ba0.5K0.5Fe1.9Mn0.1As2,9.53
586,Ba0.5K0.5Fe1.9Ni0.1As2,26.75
587,Ba0.5K0.5Fe1.9Ru0.1As2,37.14
588,Ba0.5K0.5Fe1.9Zn0.1As2,30.15
589,Ba0.5K0.5Fe2As2,35.28
590,Ba0.5K0.5Fe2As2O1,36.0
591,Ba0.5La1.5Cu1O4,23.0
592,Ba0.5Na0.5Fe2As2,32.8
593,Ba0.5Nb1O2,19.75
594,Ba0.613K0.387Bi1O3,30.7
595,Ba0.61K0.39Bi1O3,31.5
596,Ba0.625K0.375Bi1O3,28.96666666666667
597,Ba0.62K0.38Bi1O3,25.5
598,Ba0.62K0.38Bi1O3.1,29.5
599,Ba0.635K0.365Bi1O3,30.4
600,Ba0.63K0.37Bi1O3,29.585714285714285
601,Ba0.63K0.37Fe2As2,39.0
602,Ba0.644K0.356Bi1O3,29.0
603,Ba0.64K0.34Fe2As2,39.0
604,Ba0.64K0.36Bi1O3,28.5
605,Ba0.64K0.36Fe2As2,25.6
606,Ba0.64Na0.36Fe2As2,31.0
607,Ba0.65K0.35Bi1O2.984,27.9
608,Ba0.65K0.35Bi1O2.99,18.7
609,Ba0.65K0.35Bi1O3,28.2
610,Ba0.65K0.35Fe2As2,38.0
611,Ba0.65Na0.35Fe2As2,31.25
612,Ba0.65Rb0.35Fe2As2,35.8
613,Ba0.663K0.337Fe2As2,38.0
614,Ba0.665K0.335Bi1O2.985,27.3
615,Ba0.66K0.34Bi1O3,28.1
616,Ba0.66K0.34Fe1.8Co0.2As2,19.0
617,Ba0.677K0.323Fe2As2,37.0
618,Ba0.67Pt3B2,5.6
619,Ba0.68K0.32Fe1.954Co0.046As2,35.0
620,Ba0.68K0.32Fe2As2,37.75
621,Ba0.68Na0.32Fe2As2,23.8
622,Ba0.694K0.306Fe1.826Co0.174As2,18.0
623,Ba0.698Na0.302Fe2As2,18.0
624,Ba0.6K0.4Bi0.5Pb0.5O3,7.2
625,Ba0.6K0.4Bi0.6Pb0.4O3,9.2
626,Ba0.6K0.4Bi0.7Pb0.3O3,11.3
627,Ba0.6K0.4Bi0.8Pb0.2O3,14.7
628,Ba0.6K0.4Bi0.925Pr0.075O3,4.5
629,Ba0.6K0.4Bi0.933Pr0.067O3,11.1
630,Ba0.6K0.4Bi0.955Pr0.045O3,14.4
631,Ba0.6K0.4Bi0.969Pr0.031O3,18.4
632,Ba0.6K0.4Bi0.979Pr0.021O3,23.5
633,Ba0.6K0.4Bi0.99Pr0.01O3,26.4
634,Ba0.6K0.4Bi0.9Pb0.1O3,21.5
635,Ba0.6K0.4Bi1O2.926,27.6
636,Ba0.6K0.4Bi1O2.977,29.0
637,Ba0.6K0.4Bi1O3,27.928947368421053
638,Ba0.6K0.4Fe2As2,35.66
639,Ba0.6K0.4O3,30.700000000000003
640,Ba0.6Na0.4Fe2As2,33.85
641,Ba0.6Rb0.4Bi1O3,29.0
642,Ba0.6Rb0.4Fe2As2,34.0
643,Ba0.6Rb0.4Ti2Sb2O1,5.71
644,Ba0.72K0.28Fe2As2,33.45
645,Ba0.737K0.263Fe2As2,24.0
646,Ba0.74K0.26Fe2As2,32.0
647,Ba0.75K0.25Fe2As2,28.45
648,Ba0.75Na0.25Ti2Sb2O1,5.015000000000001
649,Ba0.76K0.24Bi1O3,28.0
650,Ba0.76K0.24Fe2As2,26.0
651,Ba0.76La0.24Fe2As2,5.02
652,Ba0.76Na0.24Fe2As2,15.9
653,Ba0.779Na0.221Fe2As2,8.0
654,Ba0.77K0.23Bi1O3,28.0
655,Ba0.77K0.23Fe2As2,20.25
656,Ba0.788K0.212Fe2As2,19.0
657,Ba0.78K0.22Fe2As2,23.5
658,Ba0.797K0.203Fe2As2,17.0
659,Ba0.79K0.21Fe2As2,18.0
660,Ba0.7K0.3Bi0.7Pb0.3O3,14.6
661,Ba0.7K0.3Bi1O3,29.9
662,Ba0.7K0.3Fe1.66Co0.34As2,12.0
663,Ba0.7K0.3Fe1.72Co0.28As2,12.0
664,Ba0.7K0.3Fe2As2,36.85
665,Ba0.7K0.6Bi1O3,29.35
666,Ba0.7K0.75Bi1O,29.0
667,Ba0.7Na0.3Fe2As2,23.8
668,Ba0.7Rb0.3Fe2As2,36.9
669,Ba0.7Rb0.3Ti2Sb2O1,5.93
670,Ba0.805K0.195Fe1.738Co0.262As2,14.0
671,Ba0.805K0.195Fe2As2,15.0
672,Ba0.812K0.188Fe2As2,13.0
673,Ba0.816K0.184Fe2As2,12.0
674,Ba0.818Na0.182Fe2As2,6.4
675,Ba0.81K0.19Fe2As2,12.733333333333334
676,Ba0.823K0.177Fe2As2,10.0
677,Ba0.825K0.175Fe2As2,10.0
678,Ba0.82K0.18Bi0.53Pb0.47,22.8
679,Ba0.82K0.18Fe1.654Co0.346As2,11.0
680,Ba0.82K0.18Fe2As2,10.5
681,Ba0.82La0.18Fe2As2,14.8
682,Ba0.82Pr0.18Fe2As2,6.2
683,Ba0.833K0.167Fe2As2,7.0
684,Ba0.83K0.17Bi1O3,20.0
685,Ba0.83K0.17Fe2As2,8.0
686,Ba0.84K0.16Fe2As2,6.42
687,Ba0.84Rb0.1Sn0.09Fe2As2,22.6
688,Ba0.85Ce0.15Fe2As2,13.4
689,Ba0.85K0.15Fe2As2,11.333333333333334
